a,b,corr,n,halflife_h,spread_std_bps
ASML,EWY,0.6774256393428005,377,166.35293231818008,442.43323109967923
QQQ,SAMSUNG,0.6772455831068094,433,175.29638734342487,584.4066068036794
LRCX,TSM,0.6769080191596543,310,125.41331213715495,387.0756791445095
EWT,SOXL,0.6765563305710892,436,327.79986527909944,1028.941935259479
SAMSUNG,SNDK,0.6762141850146173,433,159.3957647251046,806.2246405632584
CRDO,FLEX,0.6761507695545808,251,96.81168337485096,524.8665578233527
ONDS,RKLB,0.6756762246239956,425,668.3777172443673,1140.0882276904454
CAT,GEV,0.6756183953936983,203,44.215940978594496,86.53669725174571
AVGO,INTW,0.675511687396351,208,82.45932602724278,386.5326365850449
FLEX,SOXL,0.6746604805054658,251,89.08344947582563,725.9464330155067
ALAB,ASML,0.6745965870611567,310,245.15758183663763,1034.67393918998
ASML,SNXX,0.6740678328340964,208,146.3144959023006,1102.637874285331
ALAB,AMAT,0.6739338389575664,310,99.04537884284251,732.0895773654877
MVLL,SKHYNIX,0.6735053367768311,268,143.0558315872525,1761.630186376162
EWY,TSM,0.6732025097260951,499,212.1762174205926,323.8687112434262
RKLB,USAR,0.6729916738663012,499,111.33372211337773,651.8492577321314
GLW,SOXL,0.672502752649821,377,214.32897050991141,682.8914100498939
CIEN,MRVL,0.6719869039273726,310,75.18130398956565,475.4947678580128
IREN,MVLL,0.6716327683704453,268,181.85902592330828,1453.6040703069818
CRWV,SNXX,0.6711846976172255,208,255.2799755825672,807.0324290471667
NOK,SOXL,0.6711152865919326,436,102.54783814299272,941.4704539800927
MRVL,MU,0.6699792580711436,499,191.4114623258815,694.7040394538533
QQQ,SNDK,0.669496889295349,499,410.7011810812393,1487.632726280253
AMAT,SKHY,0.6688767803292254,202,36.23274903150443,417.3822475633102
LITE,TER,0.6685358933612169,251,79.09100059404798,638.1464122732061
ALAB,FLEX,0.6680303509679475,251,104.5074556766601,279.1520297642341
AMAT,MU,0.6678389005785487,395,49.60894364545002,431.7733967503131
QQQ,SKHY,0.6671847603425839,202,60.32513747687111,520.6348582230294
INTW,WDC,0.6671258394180618,208,137.16014900253202,476.1978727804795
CRDO,INTC,0.6668969956472978,395,177.15772891854192,482.5545298364616
CRDO,LRCX,0.6668205865944011,310,143.5644583402776,507.0006980031799
COHR,MRVL,0.6666157902506399,472,95.73471318960232,525.3853365616632
INTC,SNDK,0.665846176401456,499,143.35084805921107,803.9062202385159
LITE,TQQQ,0.6651343914911599,268,123.34652643669712,402.37027408734775
AMAT,AMD,0.6650220434955982,395,82.3768315955259,544.7179318110237
AMAT,CIEN,0.6644052974140905,310,46.48010018848637,227.8840407811038
NVDA,SPY,0.6632033996520835,499,110.37358999517622,347.411600886338
