symbol,underlyingType,fundingTime,fundingRate,markPrice
TSLAUSDT,EQUITY,1782316800001,0.00006504,380.89000000
TSLAUSDT,EQUITY,1782345600002,0.00046607,378.39118350
TSLAUSDT,EQUITY,1782374400001,0.00041237,378.74000000
TSLAUSDT,EQUITY,1782403200001,0.00013908,375.70626395
TSLAUSDT,EQUITY,1782432000001,0.00021661,374.73870456
TSLAUSDT,EQUITY,1782460800002,0.00034084,371.09000000
TSLAUSDT,EQUITY,1782489600001,0.00003606,385.23407004
TSLAUSDT,EQUITY,1782518400001,0.00000000,378.06000000
TSLAUSDT,EQUITY,1782547200001,0.00000000,380.21000000
TSLAUSDT,EQUITY,1782576000001,0.00000000,380.83599062
TSLAUSDT,EQUITY,1782604800002,0.00000000,379.06360728
TSLAUSDT,EQUITY,1782633600002,0.00000000,380.95965635
TSLAUSDT,EQUITY,1782662400001,0.00000000,380.13316431
TSLAUSDT,EQUITY,1782691200001,0.00000000,380.93000000
TSLAUSDT,EQUITY,1782720000001,0.00029531,383.03201225
TSLAUSDT,EQUITY,1782748800001,0.00000000,400.70000000
TSLAUSDT,EQUITY,1782777600000,0.00000000,408.92146978
TSLAUSDT,EQUITY,1782806400000,0.00000000,409.47140283
TSLAUSDT,EQUITY,1782835200001,0.00000000,415.97000000
TSLAUSDT,EQUITY,1782864000000,0.00000000,416.07000000
TSLAUSDT,EQUITY,1782892800001,0.00000000,417.94028528
TSLAUSDT,EQUITY,1782921600001,0.00000000,428.46911965
TSLAUSDT,EQUITY,1782950400000,0.00000000,423.06573981
TSLAUSDT,EQUITY,1782979200001,0.00000000,423.54439815
TSLAUSDT,EQUITY,1783008000001,0.00008993,398.73000000
TSLAUSDT,EQUITY,1783036800001,0.00009565,394.78906855
TSLAUSDT,EQUITY,1783065600001,0.00000000,397.86000000
TSLAUSDT,EQUITY,1783094400001,0.00000000,400.12000000
TSLAUSDT,EQUITY,1783123200001,0.00000000,398.22804830
TSLAUSDT,EQUITY,1783152000001,0.00000000,400.19355703
TSLAUSDT,EQUITY,1783180800001,0.00000000,398.94000000
TSLAUSDT,EQUITY,1783209600002,0.00000000,400.10000000
TSLAUSDT,EQUITY,1783238400001,0.00000000,400.48000000
TSLAUSDT,EQUITY,1783267200001,0.00000000,399.72176304
TSLAUSDT,EQUITY,1783296000001,0.00000000,399.42187170
TSLAUSDT,EQUITY,1783324800001,0.00000000,399.18000000
TSLAUSDT,EQUITY,1783353600001,0.00000000,414.14435670
TSLAUSDT,EQUITY,1783382400001,0.00000000,416.89074987
TSLAUSDT,EQUITY,1783411200001,0.00000000,413.93227241
TSLAUSDT,EQUITY,1783440000001,0.00000000,407.31000000
TSLAUSDT,EQUITY,1783468800002,0.00000000,403.64843131
TSLAUSDT,EQUITY,1783497600001,0.00000000,402.77000000
TSLAUSDT,EQUITY,1783526400001,0.00000000,393.23067143
TSLAUSDT,EQUITY,1783555200001,0.00017777,394.22000000
TSLAUSDT,EQUITY,1783584000001,0.00000000,398.15999517
TSLAUSDT,EQUITY,1783612800001,0.00003940,399.55485560
TSLAUSDT,EQUITY,1783641600001,0.00000000,405.18000000
TSLAUSDT,EQUITY,1783670400001,0.00000000,404.56000000
TSLAUSDT,EQUITY,1783699200001,0.00004909,409.50000000
TSLAUSDT,EQUITY,1783728000001,0.00008630,407.85495008
TSLAUSDT,EQUITY,1783756800001,0.00000000,409.36000000
TSLAUSDT,EQUITY,1783785600001,0.00000000,408.22301838
TSLAUSDT,EQUITY,1783814400001,0.00000000,407.72316438
TSLAUSDT,EQUITY,1783843200001,0.00000000,408.78000000
TSLAUSDT,EQUITY,1783872000001,0.00000000,408.63000000
TSLAUSDT,EQUITY,1783900800001,0.00000000,405.63710042
TSLAUSDT,EQUITY,1783929600001,0.00000000,401.88867872
TSLAUSDT,EQUITY,1783958400001,0.00013870,395.87000000
TSLAUSDT,EQUITY,1783987200002,0.00010436,393.34701495
TSLAUSDT,EQUITY,1784016000001,0.00036180,395.78301095
TSLAUSDT,EQUITY,1784044800001,0.00022902,396.96899721
TSLAUSDT,EQUITY,1784073600001,0.00034830,396.13000000
TSLAUSDT,EQUITY,1784102400001,0.00020747,397.41734123
TSLAUSDT,EQUITY,1784131200001,0.00017911,395.36720764
TSLAUSDT,EQUITY,1784160000001,0.00000000,394.74000000
TSLAUSDT,EQUITY,1784188800002,0.00000000,393.87000000
TSLAUSDT,EQUITY,1784217600001,0.00000000,392.74041435
TSLAUSDT,EQUITY,1784246400001,0.00000000,388.78305290
TSLAUSDT,EQUITY,1784275200001,0.00000000,384.46000000
TSLAUSDT,EQUITY,1784304000001,0.00000000,382.66000000
TSLAUSDT,EQUITY,1784332800001,0.00000519,380.41000000
TSLAUSDT,EQUITY,1784361600001,0.00000000,381.22417668
TSLAUSDT,EQUITY,1784390400001,0.00000000,382.02553843
TSLAUSDT,EQUITY,1784419200001,0.00000000,381.62360741
TSLAUSDT,EQUITY,1784448000001,0.00000000,382.50029269
TSLAUSDT,EQUITY,1784476800001,0.00000000,382.06448781
TSLAUSDT,EQUITY,1784505600002,0.00000000,384.48000000
TSLAUSDT,EQUITY,1784534400001,0.00008059,382.03857876
