symbol,fundingTime,fundingRate,markPrice,rateType,ts,rate
SKHYNIXUSDT,1785297600000,0.00384462,929.67000000,Regular,2026-07-29 04:00:00+00:00,0.00384462
SKHYNIXUSDT,1785312000001,0.00239035,988.55000000,Regular,2026-07-29 08:00:00+00:00,0.00239035
SKHYNIXUSDT,1785326400001,0.00000000,1000.03394168,Regular,2026-07-29 12:00:00+00:00,0.0
SKHYNIXUSDT,1785340800001,-0.00081102,974.75000000,Regular,2026-07-29 16:00:00+00:00,-0.00081102
SKHYNIXUSDT,1785355200001,-0.00058825,959.04292850,Regular,2026-07-29 20:00:00+00:00,-0.00058825
SKHYNIXUSDT,1785369600000,0.00000000,951.42000000,Regular,2026-07-30 00:00:00+00:00,0.0
SKHYNIXUSDT,1785384000000,0.00296498,932.56000000,Regular,2026-07-30 04:00:00+00:00,0.00296498
SKHYNIXUSDT,1785398400001,0.00022029,904.48000000,Regular,2026-07-30 08:00:00+00:00,0.00022029
SKHYNIXUSDT,1785412800000,0.00190902,960.53243232,Regular,2026-07-30 12:00:00+00:00,0.00190902
SKHYNIXUSDT,1785427200000,0.00322737,1037.27709677,Regular,2026-07-30 16:00:00+00:00,0.00322737
SKHYNIXUSDT,1785441600000,0.00046113,1061.22000000,Regular,2026-07-30 20:00:00+00:00,0.00046113
SKHYNIXUSDT,1785456000000,0.00094104,1105.22000000,Regular,2026-07-31 00:00:00+00:00,0.00094104
SKHYNIXUSDT,1785470400002,0.00000000,1151.68873646,Regular,2026-07-31 04:00:00+00:00,0.0
